Institution,Account,Date,Type,Ticker,Cusip,Description,Holding Type,Units, Unit Price,Commission,Mark Up Or Down,Taxes,Amount,Accrued Interest,Settlement Date
Fidelity Investments,Cash Management,07/26/2024,Sell,QPCTQ,FDIC99375,YOU SOLD @ 1,CASH,	-145.00000000,$1.00,,,,$145.00,,07/25/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/22/2024,Sell,SPAXX,31617H102,YOU SOLD MORNING TRADE @ 1,CASH,	-802.27000000,$1.00,,,,$802.27,,07/21/2024
Fidelity Investments,Cash Management,07/19/2024,Sell,QPCTQ,FDIC99375,YOU SOLD @ 1,CASH,	-86.85000000,$1.00,,,,$86.85,,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FUAMX,31635V257,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,13.52200000,$9.64,,,,($130.35),,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FIPDX,31635T104,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,14.78200000,$9.10,,,,($134.52),,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FPADX,316146331,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,9.73900000,$10.80,,,,($105.18),,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FSRNX,316146232,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,0.99400000,$16.12,,,,($16.03),,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FSPSX,315911727,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,2.70800000,$50.65,,,,($137.16),,07/18/2024
Fidelity Investments - via Fidelity Access,ROTH IRA,07/19/2024,Buy,FSKAX,315911693,YOU BOUGHT PROSPECTUS UNDER SEPARATE COVER,CASH,1.84400000,$151.28,,,,($279.03),,07/18/2024
Empower - via Direct Web Service,MA SMART Plan,07/18/2024,Other,SMPT60,SMPT60$01,SMARTPATH 2060 RETIREMENT FUND,CASH,	-0.04380200,$22.83,,,,($1.00),,07/19/2024
