Date,Description,Amount (in $),Account Name,Transaction Type,Category,Subcategory,Hidden Transaction
Jul-26-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-145,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Jul-25-2024,INTERNET PAYMENT THANK YOU,145,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Jul-23-2024,DECKERS*HOKA ONE ONE,-145,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Jul-19-2024,DEPOSIT FROM CHECKINGS,313.56,360 Performance Savings,Transfer,Transfers,Money transfer,No
Jul-19-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-86.85,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Jul-19-2024,DEPOSIT FROM CHECKINGS,1000,360 Performance Savings,Transfer,Transfers,Money transfer,No
Jul-19-2024,WITHDRAWAL TO GUILT FREE SPENDING,-313.56,360 Checking,Transfer,Transfers,Money transfer,No
Jul-19-2024,WITHDRAWAL TO EDUCATION,-1000,360 Checking,Transfer,Transfers,Money transfer,No
Jul-18-2024,INTERNET PAYMENT THANK YOU,86.85,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Jul-18-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-802.28,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jul-18-2024,Electronic Funds Transfer Paid (Cash),-1313.56,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jul-18-2024,DIRECT DEPOSIT COMMONWEALTHUM PAYROLL (Cash),1716.19,Fidelity Checking,Income,Income,Salary,No
Jul-18-2024,FID BKG SVC LLC,1313.56,360 Checking,Transfer,Transfers,Money transfer,No
Jul-17-2024,LS COQCOR              Montreal      QC LS COQCOR,-15.14,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
Jul-16-2024,DIRECT DEPOSIT VENMO CASHOUT (Cash),250,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
Jul-15-2024,KOREAN FOOD            MONTREAL      QC KOREAN FOOD,-10.96,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
Jul-15-2024,Electronic Funds Transfer Paid (Cash),-16.67,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jul-15-2024,FID BKG SVC LLC,16.67,360 Checking,Transfer,Transfers,Money transfer,No
Jul-14-2024,68.88 CANADIAN DOLLAR Uniqlo Canada,-50.62,Fidelity® Rewards Visa Signature® Card 6706,Expense,Shopping,Clothing & accessories,No
Jul-14-2024,13.79 CANADIAN DOLLAR SAMMI AND SOUP DUMPLING,-10.13,Fidelity® Rewards Visa Signature® Card 6706,Expense,Food,"Restaurants, convenience & coffee",No
Jul-14-2024,ATM WITHDRAWAL,-16.67,360 Checking,Expense,Cash & ATM,Checks & ATM,No
Jul-10-2024,DIRECT DEBIT CARDMEMBER SERWEB PYMT (Cash),-193.98,Fidelity Checking,Transfer,Transfers,Credit card payment,No
Jul-09-2024,INTERNET PAYMENT THANK YOU,193.98,Fidelity® Rewards Visa Signature® Card 6706,Transfer,Transfers,Credit card payment,No
Jul-08-2024,DIRECT DEBIT VENMO PAYMENT (Cash),-13,Fidelity Checking,Expense,Cash & ATM,Online payment service,No
Jul-08-2024,DIRECT DEBIT CAPITAL ONE TRANSFER (Cash),-514.86,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jul-05-2024,TRANSFERRED TO VS 246-016767-1 CURRENT CONTRIBUTION (Cash),-858.1,Fidelity Checking,Transfer,Transfers,Money transfer,No
Jul-05-2024,DIRECT DEPOSIT VENMO CASHOUT (Cash),15.5,Fidelity Checking,Income,Income,"Self employment, gig income & online payment",No
Jul-05-2024,UMB NA,514.86,360 Performance Savings,Transfer,Transfers,Money transfer,No
